Accident_ID,Date,Time_of_Day,Weather,Road_Condition,Vehicle_Density,Avg_Speed,Driver_Distraction,Traffic_Signal_Status,Vehicles_Involved,Casualties,Claim_Amount,Claim_Severity
2063,2023-03-22 00:00:00,Night,Rain,Dry,79,88,Phone,Working,1,0,791499,Medium
4145,2025-12-16 00:00:00,Night,Rain,Dry,58,69,Other,Working,1,9,996994,High
3963,2023-05-09 00:00:00,Morning,Clear,Water-logged,68,31,Phone,Blinking,4,5,372586,Low
3344,2024-06-07 00:00:00,Morning,Clear,Wet,19,97,Fatigue,Working,1,2,24826,Medium
4492,2024-03-09 00:00:00,Evening,Clear,Wet,14,111,None,Working,5,8,956857,Medium
2499,2024-06-07 00:00:00,Night,Clear,Wet,112,111,None,Blinking,4,1,709148,Medium
2393,2024-05-01 00:00:00,Afternoon,Fog,Wet,14,36,None,Working,2,5,300769,Low
2913,2023-07-31 00:00:00,Evening,Clear,Damaged,43,116,None,Working,5,6,316483,Medium
2875,2024-09-03 00:00:00,Evening,Clear,Damaged,115,60,None,Working,2,5,727299,Medium
3331,2024-01-15 00:00:00,Evening,Rain,Dry,84,82,Phone,Working,1,7,27201,High
1559,2024-09-01 00:00:00,Night,Rain,Dry,110,101,None,Working,5,0,970182,Medium
4884,2023-06-08 00:00:00,Morning,Haze,Dry,115,23,Fatigue,Working,2,4,530664,Medium
574,2024-11-03 00:00:00,Evening,Rain,Dry,34,30,Phone,Working,5,3,223605,Medium
1082,2023-06-25 00:00:00,Morning,Haze,Dry,67,66,Other,Working,4,2,351907,Medium
2815,2024-12-12 00:00:00,Evening,Clear,Dry,40,41,None,Working,2,9,562424,Medium
4627,2023-03-06 00:00:00,Afternoon,Rain,Dry,113,33,Phone,Working,4,4,425344,Medium
244,2023-03-25 00:00:00,Afternoon,Haze,Dry,23,77,None,Working,1,9,669095,High
1703,2023-12-05 00:00:00,Afternoon,Clear,Dry,15,110,Fatigue,Working,1,1,735400,Medium
2993,2024-10-09 00:00:00,Evening,Clear,Dry,35,56,None,Working,1,3,112247,Low
44,2024-04-26 00:00:00,Night,Rain,Dry,61,40,Phone,Blinking,5,8,260529,Medium
3558,2024-11-29 00:00:00,Afternoon,Rain,Wet,50,65,None,Working,5,4,123886,Medium
512,2023-12-05 00:00:00,Afternoon,Haze,Dry,72,89,None,Not Working,4,5,886277,Medium
1689,2024-12-23 00:00:00,Evening,Clear,Dry,68,40,Other,Not Working,5,5,535331,Medium
4019,2024-07-10 00:00:00,Afternoon,Clear,Damaged,117,56,Fatigue,Not Working,3,2,600258,Medium
3098,2025-03-20 00:00:00,Morning,Clear,Dry,27,61,None,Working,1,0,168769,Low
3178,2024-11-28 00:00:00,Night,Rain,Dry,13,21,None,Working,2,6,588892,Low
3292,2025-06-26 00:00:00,Night,Rain,Dry,26,110,None,Working,4,3,772890,Medium
2586,2025-10-09 00:00:00,Evening,Rain,Dry,109,102,Phone,Working,4,4,506378,High
1059,2024-06-06 00:00:00,Afternoon,Fog,Dry,104,76,Other,Blinking,3,3,640116,High
3552,2025-01-16 00:00:00,Morning,Clear,Dry,106,44,None,Working,5,1,701263,Medium
807,2023-06-17 00:00:00,Night,Clear,Dry,66,63,None,Working,3,7,906358,Medium
680,2023-11-03 00:00:00,Night,Clear,Dry,38,109,Phone,Working,4,9,960711,High
3301,2023-03-23 00:00:00,Afternoon,Rain,Dry,62,110,Other,Blinking,4,5,519171,High
2357,2023-10-27 00:00:00,Night,Haze,Wet,59,65,None,Working,1,1,46051,Medium
462,2025-12-22 00:00:00,Evening,Clear,Dry,37,110,None,Working,5,7,945104,Medium
1210,2023-03-24 00:00:00,Night,Clear,Dry,79,23,Phone,Blinking,4,2,669882,Low
2013,2025-02-04 00:00:00,Night,Clear,Water-logged,91,55,Phone,Working,3,0,209939,Low
161,2023-09-02 00:00:00,Afternoon,Rain,Dry,27,46,Phone,Working,1,7,125388,Medium
1009,2023-03-29 00:00:00,Morning,Rain,Wet,87,98,Other,Working,5,7,62704,High
2979,2024-11-04 00:00:00,Evening,Rain,Dry,82,77,None,Working,1,9,766135,High
4997,2025-10-18 00:00:00,Morning,Fog,Dry,79,47,None,Blinking,5,2,758476,Medium
4544,2024-10-10 00:00:00,Afternoon,Clear,Dry,90,33,None,Working,4,5,412517,Low
4526,2024-06-10 00:00:00,Afternoon,Clear,Dry,27,35,None,Working,2,0,968836,Low
1263,2023-03-02 00:00:00,Afternoon,Clear,Wet,114,90,Phone,Not Working,1,9,206311,High
2449,2025-01-10 00:00:00,Morning,Rain,Wet,47,52,Phone,Working,4,1,51716,Medium
3025,2025-10-21 00:00:00,Morning,Clear,Dry,116,49,Other,Blinking,2,6,349226,Medium
1024,2024-04-07 00:00:00,Night,Clear,Dry,94,78,Fatigue,Not Working,4,1,211600,Medium
1609,2023-11-16 00:00:00,Morning,Haze,Dry,111,61,None,Working,2,8,138484,High
815,2023-06-09 00:00:00,Night,Clear,Wet,90,62,Fatigue,Working,1,2,635888,Medium
102,2024-08-24 00:00:00,Evening,Rain,Wet,25,87,None,Working,2,8,635241,Medium
4229,2023-10-01 00:00:00,Afternoon,Clear,Dry,29,25,None,Working,1,7,484595,Low
3091,2023-08-19 00:00:00,Afternoon,Fog,Dry,116,47,Phone,Working,5,6,942569,High
372,2025-11-23 00:00:00,Morning,Clear,Water-logged,40,42,None,Working,4,3,391252,Medium
630,2024-05-02 00:00:00,Afternoon,Clear,Dry,66,96,None,Blinking,2,9,456335,Medium
2551,2023-04-18 00:00:00,Afternoon,Haze,Dry,81,80,None,Not Working,1,2,640637,Medium
838,2024-10-12 00:00:00,Afternoon,Clear,Water-logged,59,114,Phone,Working,4,4,774629,Medium
2950,2023-06-27 00:00:00,Night,Clear,Dry,23,44,Phone,Working,2,5,459394,Low
3545,2025-08-29 00:00:00,Night,Clear,Dry,31,97,None,Working,4,3,462103,Low
4763,2024-11-26 00:00:00,Evening,Haze,Dry,47,109,Other,Working,5,2,699318,Medium
3030,2023-05-07 00:00:00,Evening,Fog,Dry,98,108,Phone,Not Working,2,3,422605,Medium
3019,2023-09-05 00:00:00,Morning,Clear,Dry,24,102,Phone,Blinking,5,4,592470,Medium
4275,2024-04-26 00:00:00,Evening,Rain,Dry,60,28,Fatigue,Working,2,4,599085,Medium
4996,2024-03-16 00:00:00,Night,Fog,Wet,53,61,None,Working,4,2,121958,Medium
1374,2025-12-08 00:00:00,Afternoon,Haze,Dry,18,36,Phone,Working,1,5,215427,Medium
445,2024-09-11 00:00:00,Night,Clear,Dry,109,27,None,Working,4,1,662957,Low
2559,2024-07-15 00:00:00,Morning,Clear,Water-logged,113,63,Fatigue,Working,1,6,648189,Medium
2120,2024-03-04 00:00:00,Night,Rain,Wet,61,26,None,Working,4,3,882380,Medium
4837,2025-12-06 00:00:00,Afternoon,Fog,Dry,44,113,Fatigue,Not Working,3,2,322399,Medium
2538,2025-02-14 00:00:00,Morning,Clear,Wet,60,71,Other,Not Working,4,7,424808,Medium
2630,2025-02-14 00:00:00,Afternoon,Rain,Wet,108,37,Other,Working,2,1,381103,Medium
1421,2024-07-09 00:00:00,Afternoon,Haze,Wet,77,39,Phone,Working,5,0,99209,Medium
1637,2024-06-30 00:00:00,Afternoon,Haze,Wet,66,60,Phone,Not Working,1,1,751412,Medium
4376,2023-09-15 00:00:00,Afternoon,Clear,Wet,98,21,None,Not Working,4,7,931670,Medium
2646,2024-11-30 00:00:00,Afternoon,Rain,Dry,13,93,Other,Blinking,3,6,977878,Medium
586,2023-09-25 00:00:00,Morning,Clear,Dry,25,90,None,Not Working,4,5,978402,Medium
587,2024-08-18 00:00:00,Morning,Clear,Dry,98,112,None,Working,2,5,867307,Medium
3642,2025-01-13 00:00:00,Night,Clear,Dry,51,102,Phone,Not Working,2,6,504688,Medium
3671,2025-11-10 00:00:00,Morning,Haze,Dry,70,95,None,Not Working,3,1,211765,Medium
4348,2024-12-10 00:00:00,Evening,Fog,Dry,105,114,None,Working,1,8,286532,High
3981,2025-07-25 00:00:00,Night,Rain,Dry,93,35,None,Working,3,8,980719,Medium
4829,2025-06-25 00:00:00,Afternoon,Rain,Wet,44,119,None,Working,3,8,616184,Medium
1470,2023-11-15 00:00:00,Evening,Rain,Water-logged,119,112,None,Blinking,3,2,812550,High
4185,2025-12-05 00:00:00,Morning,Rain,Dry,14,60,None,Working,5,6,724638,Medium
4834,2025-11-13 00:00:00,Morning,Haze,Dry,105,98,None,Not Working,1,9,232592,High
2323,2025-03-19 00:00:00,Evening,Clear,Dry,89,60,None,Not Working,2,4,861351,Medium
2139,2025-09-06 00:00:00,Morning,Rain,Dry,12,28,Other,Blinking,3,7,757264,Medium
4139,2025-10-09 00:00:00,Evening,Clear,Wet,44,33,None,Not Working,3,0,50763,Low
2582,2024-12-09 00:00:00,Night,Clear,Water-logged,35,31,None,Working,5,2,238814,Low
499,2023-08-29 00:00:00,Night,Rain,Dry,71,95,Fatigue,Working,4,0,627230,Medium
2556,2024-12-18 00:00:00,Night,Clear,Dry,55,63,Fatigue,Not Working,5,0,331741,Low
1220,2024-10-05 00:00:00,Afternoon,Clear,Dry,114,103,Phone,Working,3,7,845587,High
3849,2023-05-08 00:00:00,Evening,Clear,Dry,90,83,None,Working,1,4,240803,Medium
3227,2024-02-23 00:00:00,Morning,Clear,Dry,40,35,Phone,Working,4,9,170850,Medium
1167,2025-06-27 00:00:00,Night,Clear,Dry,80,74,Other,Working,2,1,619149,Medium
614,2024-06-26 00:00:00,Morning,Clear,Dry,115,102,Phone,Blinking,4,6,70491,High
428,2023-04-10 00:00:00,Night,Clear,Wet,47,41,None,Working,3,4,483158,Medium
1845,2025-10-23 00:00:00,Night,Haze,Damaged,19,36,Phone,Working,4,9,428138,Medium
1855,2024-09-12 00:00:00,Night,Clear,Dry,59,82,Other,Working,4,3,104692,Medium
1985,2024-03-13 00:00:00,Morning,Fog,Dry,83,105,None,Working,1,4,489354,High
4698,2023-10-16 00:00:00,Evening,Rain,Dry,40,79,Phone,Blinking,2,3,515028,Medium
3846,2023-01-14 00:00:00,Evening,Rain,Dry,64,20,None,Working,1,6,192899,Low
1784,2025-06-01 00:00:00,Evening,Clear,Wet,67,108,Fatigue,Not Working,1,5,838500,Medium
26,2024-08-02 00:00:00,Evening,Clear,Dry,109,66,None,Not Working,4,7,569832,Medium
2432,2023-10-07 00:00:00,Night,Clear,Dry,67,47,None,Working,5,5,312033,Low
2263,2024-03-09 00:00:00,Night,Rain,Wet,29,81,Phone,Working,2,2,296765,Medium
1667,2025-12-28 00:00:00,Morning,Clear,Dry,63,89,None,Not Working,4,0,267403,Medium
1199,2024-07-01 00:00:00,Evening,Clear,Dry,76,83,None,Blinking,4,7,254746,Medium
4383,2024-02-15 00:00:00,Evening,Rain,Dry,93,50,Phone,Working,5,3,819148,Medium
1631,2025-06-10 00:00:00,Evening,Clear,Water-logged,102,26,None,Working,1,1,33586,Low
1403,2024-04-23 00:00:00,Morning,Clear,Water-logged,15,94,None,Not Working,2,6,609912,Medium
1084,2023-02-06 00:00:00,Night,Clear,Wet,45,111,None,Working,4,0,621130,Medium
623,2023-05-23 00:00:00,Afternoon,Fog,Wet,32,72,None,Blinking,2,2,57396,Medium
2834,2025-03-27 00:00:00,Afternoon,Fog,Dry,39,74,Fatigue,Working,2,5,759004,Medium
3847,2023-07-28 00:00:00,Night,Haze,Wet,37,101,None,Not Working,2,6,276493,Medium
2135,2024-06-08 00:00:00,Evening,Clear,Dry,107,29,None,Working,2,8,721618,Medium
2437,2024-07-14 00:00:00,Afternoon,Clear,Dry,31,59,Other,Working,3,1,861282,Low
4530,2025-04-13 00:00:00,Morning,Haze,Dry,106,101,Fatigue,Not Working,2,8,140743,High
2045,2023-03-06 00:00:00,Night,Haze,Wet,30,58,None,Working,3,7,502814,Medium
793,2023-05-06 00:00:00,Evening,Haze,Wet,27,67,None,Working,4,2,69904,Medium
3945,2023-09-07 00:00:00,Morning,Clear,Dry,24,38,Phone,Blinking,1,3,441243,Low
4635,2023-08-26 00:00:00,Morning,Clear,Wet,62,68,Fatigue,Not Working,2,1,957324,Low
4938,2025-08-20 00:00:00,Evening,Rain,Wet,119,67,None,Working,3,5,305664,Medium
2473,2023-07-07 00:00:00,Night,Fog,Dry,61,20,Phone,Working,5,6,530772,Medium
3492,2024-03-21 00:00:00,Evening,Clear,Dry,87,27,None,Not Working,5,5,598658,Medium
1289,2025-02-16 00:00:00,Morning,Haze,Dry,54,70,None,Working,2,2,249612,Medium
4297,2023-05-07 00:00:00,Morning,Fog,Wet,44,112,Phone,Working,2,8,823398,High
1225,2025-09-18 00:00:00,Afternoon,Clear,Dry,67,67,None,Working,3,1,785531,Low
982,2024-04-30 00:00:00,Evening,Clear,Dry,63,36,None,Working,2,1,369841,Low
2866,2023-07-04 00:00:00,Evening,Haze,Wet,70,53,None,Working,1,2,531301,Low
2650,2023-05-17 00:00:00,Afternoon,Rain,Water-logged,68,57,None,Working,1,4,643148,Medium
1259,2025-02-25 00:00:00,Morning,Fog,Water-logged,66,70,None,Not Working,3,1,995026,Medium
545,2024-06-16 00:00:00,Evening,Rain,Water-logged,71,84,Phone,Working,2,2,803647,Medium
1658,2024-01-29 00:00:00,Afternoon,Clear,Damaged,86,57,Other,Not Working,1,6,613733,Medium
1519,2025-11-05 00:00:00,Morning,Haze,Wet,79,84,Phone,Working,1,8,921350,High
1753,2025-06-24 00:00:00,Morning,Clear,Wet,73,87,Phone,Working,1,5,341245,Medium
2648,2023-05-11 00:00:00,Evening,Clear,Dry,69,43,None,Working,3,9,471405,Medium
599,2025-02-04 00:00:00,Morning,Rain,Dry,115,39,Fatigue,Working,5,7,931614,High
1452,2025-03-19 00:00:00,Evening,Haze,Wet,118,90,None,Working,1,4,108533,Medium
3892,2025-07-25 00:00:00,Evening,Fog,Wet,103,101,Phone,Working,1,5,452478,High
1492,2023-06-30 00:00:00,Afternoon,Clear,Dry,92,34,Phone,Blinking,5,3,578913,Medium
3062,2023-07-27 00:00:00,Morning,Clear,Dry,26,116,Other,Working,1,8,232368,Medium
1231,2023-03-21 00:00:00,Night,Rain,Wet,10,38,None,Working,4,9,36185,Medium
470,2024-12-30 00:00:00,Night,Clear,Dry,88,112,None,Blinking,5,3,691218,Medium
997,2023-11-24 00:00:00,Night,Clear,Water-logged,46,116,Phone,Not Working,1,6,563882,Medium
2665,2023-03-19 00:00:00,Evening,Clear,Dry,115,91,None,Working,4,9,769346,High
3254,2024-05-11 00:00:00,Morning,Rain,Dry,88,56,Fatigue,Working,5,4,371497,Medium
1902,2024-09-13 00:00:00,Morning,Clear,Damaged,41,94,None,Working,2,2,365439,Medium
1301,2025-10-07 00:00:00,Morning,Rain,Dry,36,72,Phone,Working,5,8,940138,High
2986,2023-02-04 00:00:00,Night,Rain,Water-logged,105,74,None,Working,2,2,109330,Medium
2590,2025-09-13 00:00:00,Evening,Clear,Wet,94,42,Fatigue,Working,2,9,607405,Medium
3508,2023-08-29 00:00:00,Afternoon,Rain,Wet,95,45,Phone,Working,3,3,522336,Medium
2500,2024-11-02 00:00:00,Afternoon,Rain,Wet,69,27,Other,Working,4,9,832760,Medium
3327,2023-05-29 00:00:00,Night,Clear,Dry,68,86,Phone,Blinking,1,2,414771,Medium
2419,2025-07-10 00:00:00,Morning,Clear,Wet,40,29,None,Working,3,1,640152,Low
351,2023-05-21 00:00:00,Evening,Rain,Dry,40,82,Phone,Working,5,4,558516,Medium
2881,2024-07-28 00:00:00,Afternoon,Clear,Wet,114,36,Phone,Working,5,1,378325,Low
352,2023-08-14 00:00:00,Night,Haze,Wet,38,117,Phone,Working,1,5,240309,Medium
3328,2024-01-09 00:00:00,Evening,Haze,Dry,105,74,None,Working,5,1,10524,Medium
2250,2024-07-28 00:00:00,Morning,Fog,Damaged,118,77,None,Working,3,9,337808,High
4981,2024-08-07 00:00:00,Night,Clear,Dry,43,74,Fatigue,Working,5,4,550427,Medium
4163,2024-09-04 00:00:00,Evening,Rain,Wet,29,38,Phone,Working,4,1,361083,Low
1017,2023-04-07 00:00:00,Morning,Clear,Wet,115,103,Fatigue,Not Working,2,8,380080,High
2392,2025-09-26 00:00:00,Morning,Clear,Water-logged,50,40,Fatigue,Working,3,3,938949,Medium
989,2023-07-24 00:00:00,Morning,Rain,Water-logged,96,94,Phone,Working,4,7,19828,High
497,2025-05-31 00:00:00,Evening,Rain,Dry,10,112,None,Not Working,2,0,847541,Medium
1682,2023-08-03 00:00:00,Night,Clear,Dry,117,29,Phone,Not Working,2,8,116491,Medium
3633,2023-02-21 00:00:00,Afternoon,Clear,Dry,26,97,Phone,Working,2,8,394261,Medium
3736,2025-03-20 00:00:00,Afternoon,Haze,Dry,100,119,Fatigue,Working,5,8,694846,High
1113,2025-01-10 00:00:00,Morning,Haze,Dry,51,90,Other,Blinking,4,1,840581,Medium
3336,2023-08-14 00:00:00,Evening,Clear,Wet,25,53,None,Working,2,9,22743,Medium
1256,2024-09-02 00:00:00,Afternoon,Clear,Damaged,103,84,Other,Working,4,9,55710,High
1110,2023-11-11 00:00:00,Morning,Haze,Wet,53,118,None,Working,1,8,781029,Medium
1707,2025-11-20 00:00:00,Evening,Haze,Water-logged,41,105,None,Not Working,1,2,573295,Medium
296,2023-08-28 00:00:00,Evening,Clear,Damaged,59,52,None,Working,1,4,625342,Low
4921,2023-01-08 00:00:00,Night,Clear,Wet,100,79,None,Not Working,1,5,905206,Medium
688,2025-03-19 00:00:00,Afternoon,Haze,Dry,71,34,Other,Working,2,1,505104,Medium
3419,2025-12-22 00:00:00,Morning,Rain,Water-logged,31,104,Phone,Working,1,0,712715,Medium
2290,2024-06-16 00:00:00,Morning,Fog,Dry,59,104,None,Working,5,2,760855,Medium
959,2024-03-21 00:00:00,Morning,Rain,Dry,28,117,None,Working,3,7,53287,Medium
1000,2025-04-24 00:00:00,Afternoon,Clear,Dry,22,103,None,Working,3,6,432009,Medium
4128,2025-04-16 00:00:00,Night,Rain,Dry,59,100,Other,Working,5,7,891973,High
2235,2023-02-27 00:00:00,Evening,Clear,Dry,49,24,Phone,Working,1,5,397341,Medium
773,2023-11-21 00:00:00,Morning,Clear,Dry,118,26,None,Working,4,9,884203,Medium
1192,2023-11-19 00:00:00,Evening,Rain,Dry,15,59,None,Not Working,3,5,348009,Medium
3229,2024-11-15 00:00:00,Morning,Rain,Dry,79,102,Phone,Working,4,8,781867,High
1801,2023-05-30 00:00:00,Night,Clear,Dry,109,61,Other,Working,2,1,555060,Medium
1775,2025-07-14 00:00:00,Evening,Clear,Damaged,90,52,Phone,Working,5,8,173458,Medium
4109,2023-10-11 00:00:00,Night,Clear,Wet,46,69,None,Working,3,2,194694,Low
1991,2023-10-02 00:00:00,Evening,Haze,Dry,43,27,Phone,Working,5,5,363343,Medium
3367,2025-04-19 00:00:00,Afternoon,Clear,Dry,94,81,None,Working,1,0,911021,Low
4604,2024-09-19 00:00:00,Afternoon,Clear,Dry,57,66,None,Blinking,5,6,971012,Medium
1288,2024-01-12 00:00:00,Afternoon,Clear,Dry,11,116,None,Working,1,4,905697,Medium
1458,2024-04-07 00:00:00,Evening,Clear,Dry,112,81,Phone,Working,3,6,99588,Medium
2443,2025-08-22 00:00:00,Evening,Clear,Water-logged,113,25,None,Not Working,3,2,354912,Low
4896,2024-05-08 00:00:00,Morning,Clear,Dry,58,114,None,Not Working,2,4,185305,Medium
3799,2024-09-07 00:00:00,Morning,Clear,Water-logged,30,20,Fatigue,Working,1,0,28871,Low
1162,2023-05-29 00:00:00,Morning,Clear,Dry,39,27,None,Working,5,6,81092,Low
940,2024-08-22 00:00:00,Evening,Clear,Dry,55,64,None,Working,4,8,761699,Medium
2624,2025-05-01 00:00:00,Night,Rain,Dry,53,117,Fatigue,Not Working,5,4,880626,Medium
214,2025-03-11 00:00:00,Morning,Rain,Dry,19,46,None,Working,4,2,256991,Low
3951,2024-06-30 00:00:00,Morning,Clear,Damaged,114,37,None,Working,1,7,251030,Medium
2274,2024-07-11 00:00:00,Evening,Clear,Wet,67,91,Fatigue,Blinking,5,4,291738,Medium
251,2025-09-13 00:00:00,Afternoon,Clear,Wet,87,103,None,Working,4,0,691011,Low
4143,2025-07-26 00:00:00,Morning,Haze,Dry,16,31,None,Working,3,6,365869,Medium
2355,2024-09-02 00:00:00,Evening,Clear,Dry,80,31,None,Working,1,2,92951,Low
527,2025-07-30 00:00:00,Afternoon,Rain,Dry,50,58,None,Working,2,4,735480,Medium
1202,2025-07-15 00:00:00,Morning,Clear,Dry,65,22,Other,Not Working,3,0,925527,Low
4651,2024-12-03 00:00:00,Morning,Clear,Dry,30,31,Phone,Blinking,4,6,436870,Medium
4283,2025-04-24 00:00:00,Morning,Rain,Wet,94,112,Fatigue,Blinking,4,3,154473,High
975,2023-12-09 00:00:00,Morning,Clear,Wet,14,97,Phone,Not Working,5,3,241189,Medium
4201,2024-03-21 00:00:00,Night,Haze,Dry,45,28,Fatigue,Blinking,1,6,837761,Medium
3255,2025-11-29 00:00:00,Afternoon,Clear,Dry,116,27,Phone,Working,1,9,505776,Medium
3870,2024-02-03 00:00:00,Morning,Clear,Dry,26,77,None,Working,3,3,624745,Low
45,2025-07-08 00:00:00,Afternoon,Rain,Wet,49,20,Other,Working,1,4,737120,Low
4887,2024-02-22 00:00:00,Afternoon,Fog,Dry,105,54,Fatigue,Not Working,5,7,129395,High
1865,2024-07-15 00:00:00,Night,Clear,Wet,85,31,Fatigue,Not Working,3,2,829721,Low
2448,2024-02-17 00:00:00,Morning,Clear,Damaged,26,106,None,Working,2,4,746656,Medium
1648,2024-08-25 00:00:00,Night,Fog,Dry,41,37,Other,Working,3,4,763470,Medium
4572,2024-01-11 00:00:00,Evening,Clear,Water-logged,25,115,Phone,Working,4,2,361218,Medium
3196,2025-12-25 00:00:00,Evening,Clear,Wet,76,99,Fatigue,Working,3,6,375017,Medium
658,2024-07-04 00:00:00,Afternoon,Fog,Dry,45,44,Phone,Working,2,3,962157,Low
1508,2025-05-24 00:00:00,Evening,Haze,Dry,93,103,Phone,Working,2,9,829443,High
2583,2024-04-28 00:00:00,Evening,Clear,Wet,57,91,Phone,Working,5,7,69652,Medium
58,2025-10-30 00:00:00,Morning,Clear,Wet,108,28,Phone,Working,2,6,445620,Medium
2381,2024-12-31 00:00:00,Night,Clear,Dry,35,65,None,Working,4,4,561726,Low
1036,2025-02-27 00:00:00,Evening,Clear,Water-logged,50,72,None,Working,2,0,289466,Low
2519,2025-12-08 00:00:00,Evening,Rain,Dry,105,119,Phone,Working,3,4,907599,High
702,2023-08-20 00:00:00,Morning,Clear,Dry,83,36,None,Working,3,9,700334,Medium
1754,2025-02-08 00:00:00,Morning,Clear,Dry,40,90,None,Working,2,5,495831,Medium
4568,2024-11-24 00:00:00,Morning,Fog,Water-logged,64,69,Fatigue,Working,4,2,767288,Medium
2440,2024-06-06 00:00:00,Morning,Clear,Dry,20,111,Phone,Not Working,5,0,980161,Medium
4783,2023-05-13 00:00:00,Evening,Rain,Water-logged,87,33,None,Working,2,5,126444,Medium
3620,2025-06-26 00:00:00,Morning,Clear,Dry,73,90,Phone,Not Working,1,7,659829,Medium
2925,2023-11-03 00:00:00,Afternoon,Haze,Dry,77,40,None,Working,4,2,381285,Medium
4170,2025-06-30 00:00:00,Morning,Clear,Dry,60,23,None,Working,4,3,743029,Low
3449,2025-12-01 00:00:00,Evening,Clear,Wet,37,117,None,Not Working,1,8,544698,Medium
3534,2025-10-16 00:00:00,Afternoon,Rain,Dry,95,75,None,Working,3,2,599202,Medium
1343,2024-02-01 00:00:00,Night,Rain,Dry,14,82,Phone,Working,4,4,640102,Medium
1240,2023-01-24 00:00:00,Morning,Fog,Dry,56,94,None,Working,4,2,175247,Medium
1831,2023-12-12 00:00:00,Night,Haze,Dry,23,22,Fatigue,Working,2,1,772800,Low
486,2023-01-01 00:00:00,Night,Haze,Wet,43,70,Phone,Not Working,5,6,592606,Medium
935,2024-06-23 00:00:00,Morning,Clear,Dry,83,33,Phone,Working,4,7,91316,Medium
1154,2023-02-15 00:00:00,Evening,Clear,Dry,31,113,Fatigue,Working,4,8,622310,Medium
2926,2025-10-15 00:00:00,Night,Clear,Dry,70,104,None,Working,4,0,260922,Medium
3089,2024-09-29 00:00:00,Evening,Clear,Wet,119,94,None,Working,4,2,610089,Medium
738,2024-03-20 00:00:00,Night,Clear,Dry,107,86,Fatigue,Not Working,2,1,377396,Medium
1588,2024-02-03 00:00:00,Afternoon,Clear,Dry,13,114,Phone,Working,1,4,360765,Medium
1448,2023-01-02 00:00:00,Night,Clear,Dry,48,21,Fatigue,Not Working,3,7,689837,Low
2816,2024-09-01 00:00:00,Evening,Clear,Dry,94,105,None,Working,5,1,425778,Medium
297,2023-12-02 00:00:00,Evening,Clear,Water-logged,34,62,Phone,Working,1,6,768326,Medium
2165,2023-06-06 00:00:00,Afternoon,Rain,Dry,113,72,None,Working,5,5,973044,Medium
4820,2023-03-19 00:00:00,Morning,Clear,Dry,44,53,None,Blinking,4,6,471409,Medium
4347,2023-12-17 00:00:00,Evening,Rain,Dry,67,77,Phone,Blinking,1,4,504551,Medium
1569,2025-03-30 00:00:00,Evening,Clear,Dry,37,37,None,Working,1,1,699565,Low
4533,2024-02-13 00:00:00,Morning,Clear,Dry,21,32,None,Working,3,4,656057,Low
2146,2024-10-11 00:00:00,Night,Rain,Wet,47,92,Other,Working,3,5,354241,High
4628,2023-09-19 00:00:00,Evening,Fog,Dry,32,87,None,Not Working,4,9,617065,Medium
3597,2024-04-25 00:00:00,Morning,Clear,Dry,66,73,Fatigue,Not Working,4,5,51521,Medium
1527,2023-06-16 00:00:00,Afternoon,Clear,Dry,17,53,Other,Working,2,3,797847,Low
2657,2023-08-19 00:00:00,Night,Rain,Wet,67,107,None,Not Working,2,3,987774,Medium
3926,2025-04-20 00:00:00,Morning,Rain,Dry,56,112,Phone,Blinking,4,3,518572,Medium
3238,2024-08-31 00:00:00,Night,Rain,Wet,97,30,Phone,Working,5,0,267146,Medium
3332,2024-06-16 00:00:00,Evening,Rain,Dry,119,106,None,Working,2,2,811249,Medium
2928,2025-08-23 00:00:00,Night,Fog,Dry,116,72,None,Working,2,2,205748,Medium
4194,2023-05-27 00:00:00,Evening,Fog,Wet,57,75,Phone,Not Working,5,4,760938,Medium
4869,2025-01-02 00:00:00,Evening,Haze,Dry,56,42,Other,Not Working,2,0,502362,Low
1817,2023-08-02 00:00:00,Afternoon,Clear,Dry,77,97,None,Working,2,3,871399,Medium
1414,2023-03-06 00:00:00,Morning,Clear,Dry,31,35,None,Working,5,9,263478,Medium
3540,2023-03-28 00:00:00,Morning,Fog,Dry,84,91,Phone,Working,1,6,380346,High
3074,2024-01-07 00:00:00,Afternoon,Rain,Dry,28,89,None,Working,1,0,763052,Low
2056,2023-11-26 00:00:00,Evening,Clear,Dry,67,74,Fatigue,Working,4,9,873618,Medium
1706,2025-06-05 00:00:00,Morning,Fog,Wet,15,115,None,Not Working,2,5,615207,Medium
3516,2025-12-06 00:00:00,Night,Clear,Dry,106,112,None,Working,3,3,203052,Medium
3376,2023-12-29 00:00:00,Evening,Clear,Dry,32,73,None,Working,1,4,466764,Low
1936,2025-06-12 00:00:00,Night,Clear,Dry,17,90,Phone,Working,4,1,506687,Low
3127,2023-05-16 00:00:00,Evening,Clear,Dry,90,73,None,Blinking,3,1,227175,Low
2521,2024-03-01 00:00:00,Evening,Clear,Dry,111,51,Other,Not Working,4,4,354412,Medium
293,2023-01-17 00:00:00,Night,Clear,Dry,86,59,Phone,Working,2,6,202248,Medium
249,2024-08-26 00:00:00,Night,Clear,Damaged,117,87,None,Working,2,4,327659,Medium
1964,2025-11-17 00:00:00,Afternoon,Rain,Dry,29,30,Phone,Working,2,3,624074,Low
